Name,Stars,Title,Date,Description
Juan Carlos González,N/A,12 GB de RAM y memoria interna de 512 GB,N/A,"En referencia al embalaje y entrega del paquete, PERFECTA, punto a tener muy en cuenta.Mi emoción por este día con el buque insignia de Samsung  hasta la fecha. Vengo de Galaxy S21 ultra, el Galaxy S23 Ultra es una evolución en el diseño trasero y hoja técnica, que deja lo que funcionaba y que tiene como principales argumentos una nueva cámara de 200 megapíxeles y un procesador de alto rendimiento.Con un acabado mate, en el que las huellas quedan algo marcadas, en la mano, la sensación sigue siendo premium."
Amazon Customer,N/A,Gutes Handy !,N/A,Sehr schnell mit guter Leistung und toller Kamera!
MIFLETTE,N/A,Très bien,N/A,Je suis super contente de cet achat.
Vic,N/A,A future proof phone,N/A,"It's a flagship as people call it, a future proof phone that I can see myself using it for the next 5/6 years."
Pierre,N/A,Parfait,N/A,"La batterie tien plus ou moins d'une journée, bon retour du tactil je recommande"
Placeholder,5.0,"5.0 out of 5 stars
Beast",N/A,This phone has everything at its best a smartphone can do.
Amazon Customer,5.0,"5.0 out of 5 stars
Worth buying... will never regret..",N/A,Worth buying... will never regret..
Sumeet S.,1.0,"1.0 out of 5 stars
Old product, FRAUD",N/A,"I order the mobile, was really happy. I opened the phone, everything looks brand lew, but as soon as I switched he camera and took a couple o zoomed photos, the phone became burning hot. I became suspicious. And then I switched to the calls, to see the sim, I noticed that there was an emergency number called on 3 August 2023!!!!!!!!!!!!"
Shariff,1.0,"1.0 out of 5 stars
This is not a genuine product.",N/A,I visited official samsung stores and they are claiming that this is not a geniune product. They say device IMEI number does not match. More over this product does not have brand or any warranty. Samsung also claims that this product is a refurbished product. The box and all the stickers on it are not genuine. THIS PRODUCT IS NOT ELIGIBLE TO RETURNS NOR EXCHANGE. My money is WASTED. DO NOT PURCHASE FROM THIS SELLER.
David Mathers,N/A,Disability,N/A,Not much help if you got a disability
Juan Carlos González,N/A,12 GB de RAM y memoria interna de 512 GB,N/A,"En referencia al embalaje y entrega del paquete, PERFECTA, punto a tener muy en cuenta.Mi emoción por este día con el buque insignia de Samsung  hasta la fecha. Vengo de Galaxy S21 ultra, el Galaxy S23 Ultra es una evolución en el diseño trasero y hoja técnica, que deja lo que funcionaba y que tiene como principales argumentos una nueva cámara de 200 megapíxeles y un procesador de alto rendimiento.Con un acabado mate, en el que las huellas quedan algo marcadas, en la mano, la sensación sigue siendo premium."
Amazon Customer,N/A,Gutes Handy !,N/A,Sehr schnell mit guter Leistung und toller Kamera!
MIFLETTE,N/A,Très bien,N/A,Je suis super contente de cet achat.
Vic,N/A,A future proof phone,N/A,"It's a flagship as people call it, a future proof phone that I can see myself using it for the next 5/6 years."
Pierre,N/A,Parfait,N/A,"La batterie tien plus ou moins d'une journée, bon retour du tactil je recommande"
Placeholder,5.0,"5.0 out of 5 stars
Beast",N/A,This phone has everything at its best a smartphone can do.
Amazon Customer,5.0,"5.0 out of 5 stars
Worth buying... will never regret..",N/A,Worth buying... will never regret..
Sumeet S.,1.0,"1.0 out of 5 stars
Old product, FRAUD",N/A,"I order the mobile, was really happy. I opened the phone, everything looks brand lew, but as soon as I switched he camera and took a couple o zoomed photos, the phone became burning hot. I became suspicious. And then I switched to the calls, to see the sim, I noticed that there was an emergency number called on 3 August 2023!!!!!!!!!!!!"
Shariff,1.0,"1.0 out of 5 stars
This is not a genuine product.",N/A,I visited official samsung stores and they are claiming that this is not a geniune product. They say device IMEI number does not match. More over this product does not have brand or any warranty. Samsung also claims that this product is a refurbished product. The box and all the stickers on it are not genuine. THIS PRODUCT IS NOT ELIGIBLE TO RETURNS NOR EXCHANGE. My money is WASTED. DO NOT PURCHASE FROM THIS SELLER.
David Mathers,N/A,Disability,N/A,Not much help if you got a disability
Juan Carlos González,N/A,12 GB de RAM y memoria interna de 512 GB,N/A,"En referencia al embalaje y entrega del paquete, PERFECTA, punto a tener muy en cuenta.Mi emoción por este día con el buque insignia de Samsung  hasta la fecha. Vengo de Galaxy S21 ultra, el Galaxy S23 Ultra es una evolución en el diseño trasero y hoja técnica, que deja lo que funcionaba y que tiene como principales argumentos una nueva cámara de 200 megapíxeles y un procesador de alto rendimiento.Con un acabado mate, en el que las huellas quedan algo marcadas, en la mano, la sensación sigue siendo premium."
Amazon Customer,N/A,Gutes Handy !,N/A,Sehr schnell mit guter Leistung und toller Kamera!
MIFLETTE,N/A,Très bien,N/A,Je suis super contente de cet achat.
Vic,N/A,A future proof phone,N/A,"It's a flagship as people call it, a future proof phone that I can see myself using it for the next 5/6 years."
Pierre,N/A,Parfait,N/A,"La batterie tien plus ou moins d'une journée, bon retour du tactil je recommande"
